locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv0179c,lprO,lipoprotein LprO,-,210812,210891,79,0.5443037974683544
Rv0186A,mymT,metallothionein,-,218551,218704,153,0.6078431372549019
Rv0187,,O-methyltransferase,+,218551,218704,153,0.6078431372549019
Rv0188,,transmembrane protein,+,219367,219485,118,0.5423728813559322
Rv0189c,ilvD,dihydroxy-acid dehydratase,-,221723,221870,147,0.5782312925170068
Rv0190,,hypothetical protein,+,221723,221870,147,0.5782312925170068
Rv0191,,MFS-type transporter,+,222161,222288,127,0.6614173228346457
Rv0193c,,hypothetical protein,-,226571,226871,300,0.5733333333333334
Rv0194,,multidrug ABC transporter ATPase/permease,+,226577,226877,300,0.57
Rv0195,,two component transcriptional regulator,+,230598,230898,300,0.6033333333333334
Rv0196,,HTH-type transcriptional regulator,+,231534,231646,112,0.5982142857142857
Rv0202c,mmpL11,transmembrane transport protein MmpL11,-,241292,241513,221,0.6742081447963801
Rv0203,,hypothetical protein,+,241292,241513,221,0.6742081447963801
Rv0204c,,transmembrane protein,-,243214,243383,169,0.6449704142011834
Rv0205,,transmembrane protein,+,243214,243383,169,0.6449704142011834
Rv0206c,mmpL3,transmembrane transport protein MmpL3,-,247318,247383,65,0.5538461538461539
Rv0208c,,tRNA (guanine-N(7)-)-methyltransferase,-,248906,249037,131,0.6641221374045801
Rv0209,,hypothetical protein,+,248906,249037,131,0.6641221374045801
Rv0211,pckA,phosphoenolpyruvate carboxykinase,+,251598,251781,183,0.5245901639344263
Rv0213c,,methyltransferase,-,255950,256063,113,0.584070796460177
Rv0214,fadD4,fatty-acid--CoA ligase FadD4,+,255950,256063,113,0.584070796460177
Rv0216,,hydratase,+,258612,258912,300,0.6166666666666667
Rv0217c,lipW,esterase LipW,-,260831,260923,92,0.6195652173913043
Rv0218,,transmembrane protein,+,260831,260923,92,0.6195652173913043
Rv0223c,,aldehyde dehydrogenase,-,267764,267862,98,0.6326530612244898
Rv0227c,,membrane protein,-,272839,273054,215,0.6744186046511628
Rv0228,,acyltransferase,+,272839,273054,215,0.6744186046511628
Rv0229c,,hypothetical protein,-,274719,274982,263,0.596958174904943
Rv0230c,php,phosphotriesterase,-,275963,276057,94,0.6170212765957447
Rv0231,fadE4,acyl-CoA dehydrogenase FadE4,+,275963,276057,94,0.6170212765957447
Rv0232,,transcriptional regulator,+,277764,277898,134,0.6343283582089553
Rv0236A,,hypothetical protein,-,287071,287185,114,0.6754385964912281
Rv0237,lpqI,lipoprotein LpqI,+,287071,287185,114,0.6754385964912281
Rv0238,,transcriptional regulator,+,288352,288427,75,0.6533333333333333
Rv0239,vapB24,antitoxin VapB24,+,289042,289103,61,0.47540983606557374
Rv0242c,fabG4,3-oxoacyl-ACP reductase FabG,-,292029,292170,141,0.5390070921985816
Rv0243,fadA2,acetyl-CoA acetyltransferase FadA,+,292029,292170,141,0.5390070921985816
Rv0244c,fadE5,acyl-CoA dehydrogenase FadE5,-,295633,295933,300,0.5466666666666666
Rv0245,,oxidoreductase,+,295704,296004,300,0.56
Rv0246,,integral membrane protein,+,296508,296808,300,0.5633333333333334
Rv0249c,,succinate dehydrogenase membrane anchor subunit,-,301655,301734,79,0.5443037974683544
Rv0250c,,hypothetical protein,-,302028,302172,144,0.625
Rv0251c,hsp,heat shock protein,-,302652,302865,213,0.5586854460093896
Rv0252,nirB,nitrite reductase large subunit NirB,+,302652,302865,213,0.5586854460093896
Rv0256c,PPE2,PPE family protein PPE2,-,309547,309698,151,0.695364238410596
Rv0257,,hypothetical protein,+,309547,309698,151,0.695364238410596
Rv0260c,,transcriptional regulator,-,312659,312758,99,0.5959595959595959
Rv0261c,narK3,nitrate/nitrite transporter,-,314168,314308,140,0.6214285714285714
Rv0264c,,hypothetical protein,-,316415,316510,95,0.5578947368421052
Rv0266c,oplA,5-oxoprolinase OplA,-,321154,321330,176,0.6363636363636364
Rv0267,narU,nitrite extrusion protein NarU,+,321154,321330,176,0.6363636363636364
Rv0268c,,hypothetical protein,-,323273,323337,64,0.40625
Rv0271c,fadE6,acyl-CoA dehydrogenase FadE6,-,328461,328574,113,0.5663716814159292
Rv0273c,,transcriptional regulator,-,330325,330421,96,0.6041666666666666
Rv0274,,hypothetical protein,+,330325,330421,96,0.6041666666666666
Rv0275c,,transcriptional regulator,-,331658,331747,89,0.5617977528089888
Rv0276,,hypothetical protein,+,331658,331747,89,0.5617977528089888
Rv0277c,vapC25,ribonuclease VapC25,-,333136,333436,300,0.6433333333333333
Rv0278c,,PE-PGRS family protein PE_PGRS3,-,336310,336559,249,0.606425702811245
Rv0279c,PE_PGRS4,PE-PGRS family protein PE_PGRS4,-,339073,339363,290,0.5896551724137931
Rv0280,PPE3,PPE family protein PPE3,+,339073,339363,290,0.5896551724137931
Rv0282,eccA3,ESX-3 secretion system protein EccA,+,341906,342129,223,0.5739910313901345
Rv0293c,,hypothetical protein,-,358064,358170,106,0.5283018867924528
Rv0294,tam,trans-aconitate methyltransferase,+,358064,358170,106,0.5283018867924528
Rv0296c,,sulfatase,-,361155,361333,178,0.6235955056179775
Rv0297,PE_PGRS5,PE-PGRS family protein PE_PGRS5,+,361155,361333,178,0.6235955056179775
Rv0298,,antitoxin,+,363109,363251,142,0.5915492957746479
Rv0299,,toxin,+,363175,363475,300,0.6333333333333333
Rv0301,vapC2,ribonuclease VapC2,+,363778,364043,265,0.6150943396226415
Rv0302,,transcriptional regulator,+,364469,364604,135,0.6444444444444445
Rv0304c,PPE5,PPE family protein PPE5,-,372764,372819,55,0.7636363636363637
Rv0305c,PPE6,PPE family protein PPE6,-,375711,375913,202,0.5495049504950495
Rv0306,,oxidoreductase,+,375711,375913,202,0.5495049504950495
Rv0307c,,hypothetical protein,-,377055,377112,57,0.5789473684210527
Rv0308,,integral membrane protein,+,377055,377112,57,0.5789473684210527
Rv0309,,hypothetical protein,+,377829,377930,101,0.5445544554455446
Rv0312,,hypothetical protein,+,380401,380555,154,0.6038961038961039
Rv0313,,hypothetical protein,+,382418,382489,71,0.676056338028169
Rv0314c,,membrane protein,-,383541,383601,60,0.6666666666666666
Rv0315,,"beta-1,3-glucanase",+,383541,383601,60,0.6666666666666666
Rv0317c,glpQ2,glycerophosphoryl diester phosphodiesterase GlpQ,-,385943,386243,300,0.67
Rv0320,,hypothetical protein,+,387816,387887,71,0.4647887323943662
Rv0322,udgA,UDP-glucose 6-dehydrogenase UdgA,+,389154,389259,105,0.6666666666666666
Rv0323c,,hypothetical protein,-,391251,391351,100,0.53
Rv0324,,transcriptional regulator,+,391251,391351,100,0.53
Rv0327c,cyp135A1,cytochrome P450 Cyp135A1,-,394045,394110,65,0.4307692307692308
Rv0328,,transcriptional regulator,+,394045,394110,65,0.4307692307692308
Rv0330c,,hypothetical protein,-,396087,396200,113,0.49557522123893805
Rv0331,,dehydrogenase/reductase,+,396087,396200,113,0.49557522123893805
Rv0332,,hypothetical protein,+,397367,397441,74,0.7027027027027027
Rv0335c,PE6,PE family protein PE6,-,400050,400191,141,0.6453900709219859
Rv0336,,hypothetical protein,+,400050,400191,141,0.6453900709219859
Rv0338c,,iron-sulfur-binding reductase,-,405841,405949,108,0.5555555555555556
Rv0339c,,transcriptional regulator,-,408448,408633,185,0.7081081081081081
Rv0340,,hypothetical protein,+,408448,408633,185,0.7081081081081081
Rv0341,iniB,isoniazid inducible protein IniB,+,409173,409361,188,0.6276595744680851
Rv0344c,lpqJ,lipoprotein LpqJ,-,414941,415049,108,0.5833333333333334
Rv0345,,hypothetical protein,+,414941,415049,108,0.5833333333333334
Rv0346c,ansP2,L-asparagine permease,-,416965,417265,300,0.65
Rv0347,,membrane protein,+,417003,417303,300,0.6433333333333333
Rv0350,dnaK,chaperone protein DnaK,+,419608,419834,226,0.5973451327433629
Rv0354c,PPE7,PPE family protein PPE7,-,424694,424776,82,0.5121951219512195
Rv0355c,PPE8,PPE family protein PPE8,-,434679,434829,150,0.5733333333333334
Rv0357c,purA,adenylosuccinate synthetase,-,436769,436859,90,0.6222222222222222
Rv0358,,hypothetical protein,+,436769,436859,90,0.6222222222222222
Rv0360c,,hypothetical protein,-,438739,438821,82,0.6341463414634146
Rv0361,,membrane protein,+,438739,438821,82,0.6341463414634146
Rv0362,mgtE,Mg2+ transport transmembrane protein MgtE,+,439649,439870,221,0.6108597285067874
Rv0363c,fba,fructose-bisphosphate aldolase,-,442299,442394,95,0.6
Rv0364,,transmembrane protein,+,442299,442394,95,0.6
Rv0367c,,hypothetical protein,-,445233,445313,80,0.5625
Rv0369c,,membrane oxidoreductase,-,447046,447146,100,0.61
Rv0375c,,carbon monoxyde dehydrogenase medium subunit,-,453154,453229,75,0.6533333333333333
Rv0378,,hypothetical protein,+,455386,455636,250,0.64
Rv0379,secE2,protein translocase subunit SecE,+,455858,455976,118,0.6186440677966102
Rv0380c,,RNA methyltransferase,-,456819,456914,95,0.7894736842105263
Rv0382c,pyrE,orotate phosphoribosyltransferase,-,458380,458460,80,0.7375
Rv0383c,,hypothetical protein,-,459315,459455,140,0.6357142857142857
Rv0384c,clpB,chaperone protein ClpB,-,462002,462134,132,0.553030303030303
Rv0385,,monooxygenase,+,462002,462134,132,0.553030303030303
Rv0386,,transcriptional regulator,+,463307,463410,103,0.6601941747572816
Rv0389,purT,phosphoribosylglycinamide formyltransferase PurT,+,468034,468334,300,0.59
Rv0392c,ndhA,NADH dehydrogenase NdhA,-,472639,472780,141,0.6312056737588653
Rv0393,,hypothetical protein,+,472639,472780,141,0.6312056737588653
Rv0394c,,hypothetical protein,-,474841,474939,98,0.6938775510204082
Rv0395,,hypothetical protein,+,474841,474939,98,0.6938775510204082
Rv0397,,hypothetical protein,+,475742,475815,73,0.5205479452054794
Rv0397A,,hypothetical protein,+,476184,476393,209,0.569377990430622
Rv0403c,mmpS1,membrane protein MmpS1,-,483656,483956,300,0.57
Rv0404,fadD30,long-chain-fatty-acid--AMP ligase FadD30,+,483676,483976,300,0.58
Rv0406c,,beta lactamase-like protein,-,490705,490782,77,0.6233766233766234
Rv0407,fgd1,F420-dependent glucose-6-phosphate dehydrogenase,+,490705,490782,77,0.6233766233766234
Rv0412c,,membrane protein,-,499619,499712,93,0.45161290322580644
Rv0413,mutT3,8-oxo-dGTP diphosphatase,+,499619,499712,93,0.45161290322580644
Rv0414c,thiE,thiamine-phosphate synthase,-,501018,501147,129,0.6589147286821705
Rv0415,thiO,thiamine biosynthesis oxidoreductase ThiO,+,501018,501147,129,0.6589147286821705
Rv0417,thiG,thiazole synthase,+,502170,502365,195,0.6256410256410256
Rv0418,lpqL,lipoprotein aminopeptidase LpqL,+,503195,503495,300,0.6
Rv0419,lpqM,lipoprotein peptidase LpqM,+,504998,505085,87,0.6436781609195402
Rv0420c,,transmembrane protein,-,506971,507131,160,0.6875
Rv0423c,thiC,phosphomethylpyrimidine synthase,-,510225,510376,151,0.7284768211920529
Rv0425c,ctpH,metal cation transporting ATPase H,-,515321,515372,51,0.5882352941176471
Rv0426c,,transmembrane protein,-,515816,516016,200,0.59
Rv0429c,def,polypeptide deformylase,-,518396,518696,300,0.68
Rv0430,,hypothetical protein,+,518432,518732,300,0.6666666666666666
Rv0434,,hypothetical protein,+,521454,521513,59,0.6440677966101694
Rv0437c,psd,phosphatidylserine decarboxylase,-,526082,526142,60,0.65
Rv0439c,,dehydrogenase/reductase,-,528314,528607,293,0.6621160409556314
Rv0440,groEL2,molecular chaperone GroEL,+,528314,528607,293,0.6621160409556314
Rv0442c,PPE10,PPE family protein PPE10,-,532214,532395,181,0.6077348066298343
Rv0443,,hypothetical protein,+,532214,532395,181,0.6077348066298343
Rv0448c,,hypothetical protein,-,537169,537228,59,0.6271186440677966
Rv0451c,mmpS4,membrane protein MmpS4,-,541910,542141,231,0.5151515151515151
Rv0452,,transcriptional regulator,+,541910,542141,231,0.5151515151515151
Rv0453,PPE11,PPE family protein PPE11,+,542873,543173,300,0.6266666666666667
Rv0455c,,hypothetical protein,-,545821,545888,67,0.5671641791044776
Rv0456c,echA2,enoyl-CoA hydratase EchA2,-,546803,547075,272,0.6323529411764706
Rv0456A,mazF1,toxin MazF1,-,547357,547585,228,0.5350877192982456
Rv0456B,mazE1,antitoxin MazE1,-,547517,547585,68,0.5147058823529411
Rv0457c,,peptidase,-,549607,549674,67,0.5373134328358209
Rv0458,,aldehyde dehydrogenase,+,549607,549674,67,0.5373134328358209
Rv0460,,hypothetical protein,+,551689,551748,59,0.6610169491525424
Rv0462,lpdC,dihydrolipoamide dehydrogenase,+,552550,552613,63,0.6190476190476191
Rv0465c,,HTH-type transcriptional regulator,-,556306,556457,151,0.6026490066225165
Rv0466,,hypothetical protein,+,556306,556457,151,0.6026490066225165
Rv0467,icl1,isocitrate lyase,+,557252,557526,274,0.551094890510949
Rv0468,fadB2,3-hydroxybutyryl-CoA dehydrogenase,+,558813,558894,81,0.5679012345679012
Rv0469,umaA,mycolic acid synthase UmaA,+,559755,559887,132,0.5757575757575758
Rv0470c,pcaA,cyclopropane mycolic acid synthase,-,561711,561853,142,0.6267605633802817
Rv0472c,,HTH-type transcriptional regulator,-,563427,563563,136,0.5882352941176471
Rv0473,,transmembrane protein,+,563427,563563,136,0.5882352941176471
Rv0474,,HTH-type transcriptional regulator,+,564934,565020,86,0.5697674418604651
Rv0475,hbhA,heparin binding hemagglutinin HbhA,+,565496,565796,300,0.5733333333333334
Rv0476,,transmembrane protein,+,566396,566507,111,0.6216216216216216
Rv0480c,,amidohydrolase,-,569806,569987,181,0.8066298342541437
Rv0483,lprQ,lipoprotein LprQ,+,571648,571709,61,0.6885245901639344
Rv0484c,,short-chain type oxidoreductase,-,573801,573983,182,0.6043956043956044
Rv0485,,transcriptional regulator,+,573801,573983,182,0.6043956043956044
Rv0488,,amino acid transporter,+,577363,577663,300,0.6066666666666667
Rv0489,gpm1,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",+,578269,578425,156,0.6410256410256411
Rv0490,senX3,two component sensor histidine kinase SenX3,+,579175,579348,173,0.5491329479768786
Rv0491,regX3,two component sensory transduction protein RegX,+,580581,580808,227,0.6960352422907489
Rv0495c,,hypothetical protein,-,586314,586393,79,0.5949367088607594
Rv0496,,hypothetical protein,+,586314,586393,79,0.5949367088607594
Rv0500A,,DNA-binding protein,+,590970,591110,140,0.5642857142857143
Rv0501,galE2,UDP-glucose 4-epimerase GalE,+,591353,591653,300,0.64
Rv0504c,,hypothetical protein,-,595302,595463,161,0.7204968944099379
Rv0505c,serB1,phosphoserine phosphatase SerB,-,596585,596758,173,0.5549132947976878
Rv0506,mmpS2,membrane protein MmpS2,+,596585,596758,173,0.5549132947976878
Rv0512,hemB,delta-aminolevulinic acid dehydratase,+,604516,604601,85,0.6470588235294118
Rv0515,,hypothetical protein,+,606448,606550,102,0.6176470588235294
Rv0516c,,anti-anti-sigma factor,-,608535,608745,210,0.6095238095238096
Rv0517,,acyltransferase,+,608535,608745,210,0.6095238095238096
Rv0518,,hypothetical protein,+,610056,610187,131,0.5877862595419847
Rv0519c,,membrane protein,-,612074,612374,300,0.6033333333333334
Rv0522,gabP,GABA permease GabP,+,612737,613037,300,0.66
Rv0523c,,hypothetical protein,-,614721,614834,113,0.6106194690265486
Rv0524,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",+,614721,614834,113,0.6106194690265486
Rv0532,PE_PGRS6,PE-PGRS family protein PE_PGRS6,+,622646,622792,146,0.6506849315068494
Rv0533c,fabH,3-oxoacyl-ACP synthase III,-,625480,625561,81,0.6419753086419753
Rv0537c,,integral membrane protein,-,629731,630031,300,0.6433333333333333
Rv0538,,membrane protein,+,629739,630039,300,0.6466666666666666
Rv0539,,dolichyl-phosphate sugar synthase,+,631686,631742,56,0.6607142857142857
Rv0542c,menE,2-succinylbenzoic acid--CoA ligase,-,635504,635572,68,0.7058823529411765
Rv0543c,,hypothetical protein,-,635875,635934,59,0.6101694915254238
Rv0545c,pitA,low-affinity inorganic phosphate transporter,-,637463,637582,119,0.5210084033613446
Rv0546c,,hypothetical protein,-,637969,638031,62,0.7580645161290323
Rv0547c,,oxidoreductase,-,638916,639011,95,0.6210526315789474
Rv0548c,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",-,639956,640227,271,0.6457564575645757
Rv0549c,vapC3,ribonuclease VapC3,-,640641,640941,300,0.6333333333333333
Rv0550c,vapB3,antitoxin VapB3,-,640904,641095,191,0.6492146596858639
Rv0551c,fadD8,fatty-acid--CoA ligase FadD8,-,642811,642888,77,0.5324675324675324
Rv0552,,hypothetical protein,+,642811,642888,77,0.5324675324675324
Rv0557,mgtA,GDP-mannose-dependent alpha-mannosyltransferase,+,648474,648535,61,0.6229508196721312
Rv0563,htpX,protease HtpX,+,653778,653878,100,0.59
Rv0564c,gpdA1,glycerol-3-phosphate dehydrogenase,-,655949,656009,60,0.5666666666666667
Rv0565c,,monooxygenase,-,657470,657547,77,0.6233766233766234
Rv0566c,,hypothetical protein,-,658039,658320,281,0.6441281138790036
Rv0567,,methyltransferase/methylase,+,658039,658320,281,0.6441281138790036
Rv0568,cyp135B1,cytochrome P450 Cyp135B1,+,659340,659449,109,0.5412844036697247
Rv0569,,hypothetical protein,+,660868,661002,134,0.7014925373134329
Rv0571c,,hypothetical protein,-,664818,665041,223,0.6681614349775785
Rv0572c,,hypothetical protein,-,665383,665683,300,0.62
Rv0574c,,hypothetical protein,-,668394,668578,184,0.6684782608695652
Rv0575c,,oxidoreductase,-,669745,669847,102,0.5098039215686274
Rv0576,,transcriptional regulator,+,669745,669847,102,0.5098039215686274
Rv0578c,PE_PGRS7,PE-PGRS family protein PE_PGRS7,-,675916,676216,300,0.6133333333333333
Rv0579,,hypothetical protein,+,675937,676237,300,0.61
Rv0580c,,hypothetical protein,-,677616,677709,93,0.5591397849462365
Rv0581,vapB26,antitoxin VapB26,+,677616,677709,93,0.5591397849462365
Rv0582,vapC26,ribonuclease VapC26,+,677621,677921,300,0.6666666666666666
Rv0583c,lpqN,lipoprotein LpqN,-,679075,679228,153,0.5882352941176471
Rv0584,,glycosidase,+,679075,679228,153,0.5882352941176471
Rv0585c,,integral membrane protein,-,684272,684409,137,0.583941605839416
Rv0586,mce2R,HTH-type transcriptional regulator Mce2R,+,684272,684409,137,0.583941605839416
Rv0591,mce2C,Mce family protein Mce2C,+,688758,689058,300,0.6233333333333333
Rv0595c,vapC4,ribonuclease VapC4,-,695231,695531,300,0.6466666666666666
Rv0596c,vapB4,antitoxin VapB4,-,695485,695667,182,0.6813186813186813
Rv0597c,,hypothetical protein,-,696903,697153,250,0.632
Rv0598c,vapC27,ribonuclease VapC27,-,697567,697867,300,0.6133333333333333
